Objectid,lsoa11cd,name,lat,lon
34128,W01001888,Cardiff 010A,51.51275,-3.23468
33907,W01001724,Cardiff 032C,51.49211,-3.17585
34039,W01001715,Cardiff 035B,51.48688,-3.21213
33303,W01001755,Cardiff 025A,51.50079,-3.19173
33712,W01001730,Cardiff 008A,51.52131,-3.16326
